Jon	0.22996466368473173
Robert	0.2094523840293194
Tyrion	0.19791284320277353
Daenerys	0.15720345212054956
Robb	0.1269644713830151
Sansa	0.12672031668498004
Stannis	0.1026998617273264
Jaime	0.09994344156136246
Arya	0.07960711308183888
Tywin	0.06553840423231058
Bran	0.06301659941786954
Davos	0.056064690026954175
Catelyn	0.04890588265764755
Barristan	0.04011407489067884
Samwell	0.03227262859511145
Cersei	0.02674643287824232
Joffrey	0.025434099443917696
Janos	0.02355861153253357
Oberyn	0.01958014232946847
Eddard	0.019341416465723616
Kevan	0.019219915043818533
Belwas	0.018867924528301886
Craster	0.018867924528301886
Viserys	0.015644391307527945
Lysa	0.015215156305177053
Sandor	0.014162278987154626
Melisandre	0.00860866854841803
Rhaegar	0.007312671807481101
Mance	0.007275961371756524
Edmure	0.0063172332740347534
Val	0.005898334987101542
Gregor	0.005879915417737236
Brynden	0.004727134574764742
Aemon	0.004622508177397137
Renly	0.004227926858198188
Loras	0.003780752291533962
Walder	0.0032731813973401044
Elia	0.002996853410630337
Jorah	0.002329891127259132
Hodor	0.0021937273446681065
Meera	0.0019922569692430686
Thoros	0.0019261823273239152
Brienne	0.0015376001520469229
Shae	0.0012523948930099663
Petyr	0.0011502139845250673
Margaery	0.0010973522354777933
Varys	0.0009094137867722772
Podrick	0.0008358985235471674
Rickon	0.0007626320968639029
Tommen	0.0006984420191967362
Lothar	0.0006600525898733143
Balon	0.0006281164805527878
Myrcella	0.0006235971795124951
Beric	0.0006091214266627511
Jon Arryn	0.0005764583325230229
Theon	0.00047177590304274953
Jojen	0.0004064518889316733
Qhorin	0.0002635519616651692
Roose	0.0002629599012559427
Meryn	0.00025900705642512993
Hoster	0.0002426336765959408
Irri	0.00017969451931716083
Bronn	0.00010482180293501046
Roslin	6.751960581039384e-05
Grenn	5.989817310572027e-05
Daario	5.989817310572027e-05
Drogo	5.989817310572027e-05
Aerys	0.0
Alliser	0.0
Amory	0.0
Anguy	0.0
Gendry	0.0
Illyrio	0.0
Luwin	0.0
Nan	0.0
Jeyne	0.0
Ilyn	0.0
Pycelle	0.0
Karl	0.0
Aegon	0.0
Kraznys	0.0
Missandei	0.0
Rakharo	0.0
Worm	0.0
Cressen	0.0
Salladhor	0.0
Eddison	0.0
Gilly	0.0
Qyburn	0.0
Bowen	0.0
Dalla	0.0
Orell	0.0
Rattleshirt	0.0
Styr	0.0
Ygritte	0.0
Lancel	0.0
Olenna	0.0
Marillion	0.0
Robert Arryn	0.0
Ellaria	0.0
Mace	0.0
Rickard	0.0
Ramsay	0.0
Chataya	0.0
Shireen	0.0
Doran	0.0
Walton	0.0
